SubjID,AverageFA,ROIGCC,ROIBCC,ROISCC,ROIFX,ROICST_R,ROICST_L,ROIALIC_R,ROIALIC_L,ROIPLIC_R,ROIPLIC_L,ROIRLIC_R,ROIRLIC_L,ROIACR_R,ROIACR_L,ROISCR_R,ROISCR_L,ROIPCR_R,ROIPCR_L,ROIPTR_R,ROIPTR_L,ROISS_R,ROISS_L,ROIEC_R,ROIEC_L,ROICGC_R,ROICGC_L,ROICGH_R,ROICGH_L,ROIFX_ST_R,ROIFX_ST_L,ROISLF_R,ROISLF_L,ROISFO_R,ROISFO_L,ROIIFO_R,ROIIFO_L,ROIUNC_R,ROIUNC_L,ROIIC_R,ROIIC_L,ROIALIC,ROIPLIC,ROIRLIC,ROIIC,ROICR_R,ROICC,ROICR_L,ROIACR,ROISCR,ROIPCR,ROICR,ROICST,ROIPTR,ROISS,ROIEC,ROICGC,ROICGH,ROISLF,ROISFO,ROIIFO,ROIFXST,ROIUNC
1000,3,2,1,2,3,3,2,1,2,1,1,1,3,2,2,2,1,2,2,3,3,3,1,3,1,1,1,1,3,3,2,1,1,2,1,1,1,2,2,1,2,1,1,3,3,3,3,3,3,1,1,2,2,1,1,1,3,3,2,1,1,2,2
1001,1,3,1,2,3,1,2,1,2,2,2,2,1,2,3,3,3,3,2,2,1,1,1,1,1,1,3,2,2,2,1,2,1,2,3,3,2,2,2,2,2,3,3,1,2,1,2,3,2,2,1,1,2,1,2,1,2,1,2,1,1,2,2
1002,2,1,1,1,3,3,3,3,1,1,3,2,2,2,3,3,1,3,1,2,3,3,3,3,2,3,3,1,1,3,2,1,2,3,3,3,1,2,2,2,3,1,3,1,2,2,3,3,3,3,2,1,1,2,3,2,3,2,2,3,2,1,3
1003,3,1,1,2,1,3,2,1,2,2,1,1,3,2,1,2,1,2,1,1,1,2,1,3,3,2,3,1,2,2,2,3,3,1,1,2,3,2,1,2,1,3,2,2,3,2,2,1,1,2,2,1,2,2,3,2,3,1,2,3,3,3,2
1004,1,3,1,2,3,1,3,1,3,2,2,2,1,3,3,1,3,3,2,1,1,3,3,1,3,1,2,3,1,2,2,3,3,3,2,2,1,1,3,2,1,3,1,3,3,3,1,1,2,3,1,2,1,2,2,3,2,2,2,3,2,1,3
1005,3,3,2,2,2,1,3,3,2,2,1,3,3,2,2,3,1,2,1,1,3,1,2,3,3,1,3,2,2,2,1,2,1,2,3,2,2,1,1,2,3,3,2,3,1,1,3,2,3,3,2,1,2,2,1,3,1,2,2,3,2,3,1
1006,3,3,2,3,2,3,1,1,1,2,3,1,1,2,1,1,1,1,3,1,3,3,1,1,1,3,3,1,1,3,1,1,2,3,2,1,3,2,2,3,1,3,2,2,1,2,3,3,2,2,2,3,2,3,3,2,2,1,1,2,3,3,2
1007,1,3,2,3,3,1,3,1,1,2,1,2,3,3,2,3,3,2,3,3,1,3,2,1,2,2,2,2,3,3,1,2,2,1,2,3,3,1,3,2,3,2,1,3,2,3,1,1,1,3,3,3,1,1,1,2,3,2,1,1,3,2,1
1008,3,1,3,2,3,1,2,2,2,3,3,1,3,1,1,1,3,1,2,2,1,3,2,1,2,1,3,3,2,1,2,1,2,2,1,1,2,3,1,2,1,2,1,2,2,2,2,1,3,2,1,2,1,3,1,3,1,2,1,2,3,1,2
1009,2,1,3,1,1,2,2,1,3,1,3,3,3,3,3,1,2,3,1,3,3,2,1,2,2,2,2,3,3,2,1,2,2,3,2,1,2,2,2,3,1,2,1,1,2,2,2,2,2,1,1,1,1,3,3,2,1,2,3,1,2,1,1
